UID        PID  PPID  C STIME TTY          TIME CMD
root       966     1  0 13:14 ?        00:00:00 /lib/systemd/systemd-logind
avahi      986     1  0 13:14 ?        00:00:00 avahi-daemon: running [chrysaor-info-ubuntu-14041-desktop-amd64.local]
avahi      997   986  0 13:14 ?        00:00:00 avahi-daemon: chroot helper
root      1026     1  0 13:14 tty4     00:00:00 /sbin/getty -8 38400 tty4
root      1031     1  0 13:14 tty5     00:00:00 /sbin/getty -8 38400 tty5
root      1037     1  0 13:14 tty2     00:00:00 /sbin/getty -8 38400 tty2
root      1038     1  0 13:14 tty3     00:00:00 /sbin/getty -8 38400 tty3
root      1041     1  0 13:14 tty6     00:00:00 /sbin/getty -8 38400 tty6
root      1145     1  0 13:14 ?        00:00:01 /usr/sbin/irqbalance
root      1149     1  0 13:14 ?        00:00:01 NetworkManager
root      1153     1  0 13:14 ?        00:00:00 /usr/sbin/cups-browsed
root      1162     1  0 13:14 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
kernoops  1172     1  0 13:14 ?        00:00:00 /usr/sbin/kerneloops
root      1174     1  0 13:14 ?        00:00:00 cron
root      1225     1  0 13:14 tty1     00:00:00 /sbin/getty -8 38400 tty1
root      1267     1  0 13:14 ?        00:00:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
whoopsie  1274     1  0 13:14 ?        00:00:00 whoopsie
root      1279  1149  0 13:14 ?        00:00:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-30e25742-b9a4-4527-bfc7-b1a8add329eb-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
root      1330     1  0 13:14 ?        00:00:00 lightdm
root      1381  1330  1 13:14 tty7     00:00:48 /usr/bin/X -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1384     1  0 13:14 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
nobody    1401  1149  0 13:14 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.1.1 --conf-file=/var/run/NetworkManager/dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root      1454     2  0 13:14 ?        00:00:00 [kauditd]
root      1595  1330  0 13:14 ?        00:00:00 lightdm --session-child 12 19
root      1641     1  0 13:14 ?        00:00:00 /usr/lib/upower/upowerd
rtkit     1747     1  0 13:14 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
user      1901     1  0 13:14 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
user      1903  1595  0 13:14 ?        00:00:00 init --user
user      1998  1903  0 13:14 ?        00:00:01 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-hTxCisaeiX
user      2010  1903  0 13:14 ?        00:00:00 upstart-event-bridge
user      2025  1903  0 13:14 ?        00:00:10 /usr/bin/ibus-daemon --daemonize --xim
user      2037  1903  0 13:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
user      2043  1903  0 13:14 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
user      2046  1903  0 13:14 ?        00:00:00 upstart-dbus-bridge --daemon --session --user --bus-name session
user      2048  1903  0 13:14 ?        00:00:00 upstart-file-bridge --daemon --user
user      2062  1903  0 13:14 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
user      2067  1903  0 13:14 ?        00:00:09 /usr/lib/x86_64-linux-gnu/hud/hud-service
